key,value
12095,51550
22833,84106
20616,85940
32894,72129
14542,56165
8521,78372
11565,73266
19293,69262
16130,55777
25123,64295
10374,63275
8046,95391
12134,76191
1280,66979
26798,90228
23704,98792
28121,62304
19210,96890
40387,72729
28808,88232
15305,90975
5944,65447
36366,82565
28030,97686
22025,63934
18543,71581
31761,92572
37540,87477
28784,67723
24367,86992
2478,63794
27515,84674
33643,63997
7911,68156
18384,92931
46255,59811
45321,87213
9107,67620
29099,98177
4685,73287
9881,70210
19960,84919
12793,63359
15423,72013
35282,55157
46913,66564
26205,78095
28447,88533
49212,85420
42009,75262
35004,79126
7366,55476
3899,75282
43338,98751
36019,90374
11485,77190
33058,80354
40649,52339
21306,56552
44450,89392
9648,67465
7115,93699
28649,68238
43876,85040
6007,76269
19946,81907
14942,66374
31066,85800
5293,64466
38948,89669
38785,74917
8060,99910
18357,86121
4758,67794
34800,61233
35920,50737
47591,62476
7704,89747
25355,73528
43478,61416
557,85865
21555,78082
16340,67229
38539,69068
42536,94792
19371,71678
5904,91603
10540,67141
48130,86298
45130,64071
47888,90658
26657,95193
13026,57164
343,88643
10433,79224
19911,84273
17526,69409
22594,81444
38538,62663
3495,82215
1537,93380
1330,80566
3972,69505
3995,69746
17302,87633
19644,73688
19657,58949
7028,93990
46755,86286
20560,58385
32340,61942
45366,70706
45038,77675
40998,97402
1351,72365
34661,71109
13715,50036
20908,76015
13581,78858
19742,53085
35685,56495
21530,61567
28045,74478
29652,69791
22723,90122
34336,80165
25936,52038
468,83007
38778,80566
22913,97559
43745,57539
31794,91954
15307,78665
40060,62392
18598,77214
43841,97646
46956,55797
41193,64479
24049,65874
29044,94043
44016,69865
3967,90785
49240,54744
31857,53817
13703,69220
26910,93051
62,99700
18448,52580
33996,83235
36527,52711
17199,99593
28273,65864
25546,62852
2637,90310
30111,90214
43018,86186
23401,66997
4100,76373
14283,86068
22310,94804
27363,63151
42555,64609
33908,90487
23423,92148
20925,55335
9282,91883
23048,80507
9866,77510
20182,74677
44770,89436
39416,75597
25029,71489
24247,92154
10315,94516
49953,89016
630,75743
17499,79811
528,96377
6259,92440
33121,56552
6903,86768
